Time [s],Concentration [VMR]
1.225000000000000089e+00,9.485000000000021192e-03
1.250000000000000000e+00,8.610000000000018680e-03
1.275000000000000133e+00,7.378750000000015505e-03
1.300000000000000044e+00,8.190000000000020181e-03
1.325000000000000178e+00,8.578750000000016918e-03
1.350000000000000089e+00,9.145000000000021168e-03
1.375000000000000000e+00,8.502500000000020458e-03
1.400000000000000133e+00,8.002500000000014810e-03
1.425000000000000044e+00,8.128125000000017281e-03
1.450000000000000178e+00,9.099375000000020641e-03
1.475000000000000089e+00,9.653750000000021689e-03
1.500000000000000000e+00,8.338750000000019758e-03
1.525000000000000133e+00,7.686875000000018346e-03
1.550000000000000044e+00,7.361875000000016843e-03
1.575000000000000178e+00,8.392500000000018001e-03
1.600000000000000089e+00,7.787500000000017499e-03
1.625000000000000000e+00,7.059375000000016158e-03
1.650000000000000133e+00,7.397500000000015175e-03
1.675000000000000044e+00,8.273750000000018937e-03
1.700000000000000178e+00,8.864375000000018073e-03
1.725000000000000089e+00,6.896250000000015215e-03
1.750000000000000000e+00,6.015000000000013392e-03
1.775000000000000133e+00,6.592500000000015015e-03
1.800000000000000044e+00,8.507500000000018520e-03
1.825000000000000178e+00,7.746250000000017011e-03
1.850000000000000089e+00,6.751250000000015919e-03
1.875000000000000000e+00,6.735000000000015280e-03
1.900000000000000133e+00,7.610000000000017792e-03
1.925000000000000044e+00,8.470625000000016336e-03
1.950000000000000178e+00,7.958750000000017893e-03
1.975000000000000089e+00,7.393750000000016628e-03
2.000000000000000000e+00,7.507500000000015897e-03
2.024999999999999911e+00,7.494375000000018383e-03
2.050000000000000266e+00,8.155625000000017027e-03
2.075000000000000178e+00,6.165625000000013976e-03
2.100000000000000089e+00,6.133750000000013324e-03
2.125000000000000000e+00,6.520625000000015124e-03
2.149999999999999911e+00,7.435000000000017116e-03
2.175000000000000266e+00,7.488750000000017962e-03
2.200000000000000178e+00,6.766250000000015308e-03
2.225000000000000089e+00,6.361875000000015087e-03
2.250000000000000000e+00,6.757500000000016098e-03
2.274999999999999911e+00,8.558750000000014263e-03
2.300000000000000266e+00,7.016250000000015530e-03
2.325000000000000178e+00,6.286250000000014049e-03
2.350000000000000089e+00,6.311250000000013030e-03
2.375000000000000000e+00,8.005000000000015575e-03
2.400000000000000355e+00,8.958750000000020516e-03
2.425000000000000266e+00,7.821875000000016315e-03
2.450000000000000178e+00,7.768750000000016094e-03
2.475000000000000089e+00,9.046250000000019553e-03
2.500000000000000000e+00,1.007875000000002172e-02
2.525000000000000355e+00,9.227500000000020408e-03
2.550000000000000266e+00,8.771875000000019240e-03
2.575000000000000178e+00,9.090000000000019939e-03
2.600000000000000089e+00,1.020875000000002336e-02
2.625000000000000000e+00,1.061125000000002171e-02
2.650000000000000355e+00,9.873750000000021398e-03
2.675000000000000266e+00,9.550000000000022013e-03
2.700000000000000178e+00,8.961250000000021282e-03
2.725000000000000089e+00,1.074500000000002536e-02
2.750000000000000000e+00,1.073875000000002258e-02
2.775000000000000355e+00,9.843750000000019151e-03
2.800000000000000266e+00,9.530000000000021093e-03
2.825000000000000178e+00,9.015625000000020151e-03
2.850000000000000089e+00,9.721250000000021541e-03
2.875000000000000000e+00,9.622500000000023396e-03
2.900000000000000355e+00,8.858750000000022856e-03
2.925000000000000266e+00,8.865000000000015229e-03
2.950000000000000178e+00,9.065000000000020958e-03
2.975000000000000089e+00,1.126000000000002346e-02
3.000000000000000000e+00,8.668750000000020189e-03
3.025000000000000355e+00,7.917500000000013069e-03
