Number of teeth,High frequency modulation (Hz),Mean concentration (VMR),Standard deviation (VMR)
7,2000000000.0,0.009645782668211767,0.0011422448695434986
7,2100000000.0,0.009454156640590381,0.00045481920940967273
7,2200000000.0,0.009570171962771087,0.0011952450192803479
7,2300000000.0,0.009496574485422682,0.000574962692088704
7,2400000000.0,0.010245691235456733,0.0008565089964305172
7,2500000000.0,0.01002710418876638,0.0013383892469610455
7,2600000000.0,0.01086818240963317,0.0012078927366433409
7,2700000000.0,0.010424169520759063,0.0011550967793035594
7,2800000000.0,0.01020676506215704,0.0009085390605944913
7,2900000000.0,0.010983474786034815,0.0007322673745119843
7,3000000000.0,0.011221787276878701,0.0009807127944353189
8,600000000.0,0.006781144758383052,0.0006057720773075115
8,700000000.0,0.007417471111891091,0.0003868822975145215
8,800000000.0,0.007888634971065938,0.0003247617875618519
8,900000000.0,0.008063902310198939,0.00037258544851976813
8,1000000000.0,0.008529463430532212,0.0006160962414114595
8,1100000000.0,0.008732035194271919,0.00037565423517042735
8,1200000000.0,0.00891337980818339,0.0002982005273066288
8,1300000000.0,0.009140341436632555,0.0005618686477925298
8,1400000000.0,0.009272076111245342,0.0004669812100728043
8,1500000000.0,0.00929901243495411,0.0002813146589616353
8,1600000000.0,0.009540185207261196,0.0004234825834357685
8,1700000000.0,0.009597964158761782,0.00037746293185206726
8,1800000000.0,0.009468396130439295,0.0006065319131374901
8,1900000000.0,0.009775679690540683,0.0007940900058529241
8,2000000000.0,0.009577492630890357,0.0005854208162953406
8,2100000000.0,0.009778339224087712,0.0003596654322958584
8,2200000000.0,0.009582113570136335,0.000807033110135841
8,2300000000.0,0.010460552097774883,0.0007291042998050075
8,2400000000.0,0.01018425526227928,0.001004016326479073
8,2500000000.0,0.010866867295236643,0.0011611139153247935
8,2600000000.0,0.010469263917587849,0.001230388289180065
8,2700000000.0,0.010762624823660947,0.0013611384894913379
8,2800000000.0,0.011130559513294214,0.0006599802881868109
8,2900000000.0,0.01140729081791014,0.0006119291159141604
8,3000000000.0,0.010347723655169463,0.001374876353360347
9,500000000.0,0.007749536895472915,0.0004971471522797248
9,600000000.0,0.007813987134504567,0.0004835557942650758
9,700000000.0,0.008708762979888025,0.0005398939046182396
9,800000000.0,0.008596436666036137,0.00037610073781170646
9,900000000.0,0.008719701440342455,0.0004317369339004138
9,1000000000.0,0.00906659780738019,0.0003565686277557212
9,1100000000.0,0.009156402795320085,0.0006497384996626129
9,1200000000.0,0.009565081793565022,0.0007230873930545289
9,1300000000.0,0.009323163448917588,0.0005829156233052218
9,1400000000.0,0.009590367909934448,0.0007707141459988745
9,1500000000.0,0.00968604953278167,0.0005376554008771123
